event:id,case:concept:name,concept:name,start_timestamp,time:timestamp,event:duration_min,org:resource,case:amount,case:region
evt_00000001,case_000001,a,2020-01-01 00:00:00+00:00,2020-01-01 00:44:19.496514+00:00,44.3249419,res_02,1251.94,region_4
evt_00000002,case_000001,g,2020-01-01 00:45:23.809127+00:00,2020-01-01 01:10:02.569964+00:00,24.64601395,res_04,1251.94,region_4
evt_00000003,case_000001,h,2020-01-01 01:36:41.584116+00:00,2020-01-01 02:10:22.230995+00:00,33.67744798333333,res_08,1251.94,region_4
evt_00000004,case_000002,a,2020-01-01 01:49:36.623185+00:00,2020-01-01 02:27:01.587086+00:00,37.41606501666667,res_02,905.1,region_1
evt_00000005,case_000002,c,2020-01-01 02:39:36.463587+00:00,2020-01-01 02:54:56.730715+00:00,15.337785466666666,res_06,905.1,region_1
evt_00000006,case_000002,d,2020-01-01 03:10:41.202502+00:00,2020-01-01 03:48:21.990290+00:00,37.679796466666666,res_03,905.1,region_1
evt_00000007,case_000002,e,2020-01-01 04:03:31.498915+00:00,2020-01-01 04:45:01.246342+00:00,41.495790449999994,res_01,905.1,region_1
evt_00000008,case_000002,f,2020-01-01 05:06:57.711010+00:00,2020-01-01 05:58:03.779293+00:00,51.10113805,res_08,905.1,region_1
evt_00000009,case_000003,a,2020-01-01 03:48:44.568046+00:00,2020-01-01 04:20:37.840407+00:00,31.887872683333335,res_02,1087.05,region_4
evt_00000010,case_000003,g,2020-01-01 04:28:09.810699+00:00,2020-01-01 05:01:01.364840+00:00,32.85923568333333,res_04,1087.05,region_4
evt_00000011,case_000003,h,2020-01-01 05:21:21.788826+00:00,2020-01-01 06:14:53.430022+00:00,53.527353266666665,res_08,1087.05,region_4
evt_00000012,case_000004,a,2020-01-01 04:08:59.920501+00:00,2020-01-01 04:39:09.109227+00:00,30.153145433333336,res_08,748.24,region_4
evt_00000013,case_000004,g,2020-01-01 04:54:59.520027+00:00,2020-01-01 05:18:08.654017+00:00,23.15223316666667,res_04,748.24,region_4
evt_00000014,case_000004,h,2020-01-01 05:25:57.988140+00:00,2020-01-01 06:02:28.963160+00:00,36.51625033333333,res_08,748.24,region_4
evt_00000015,case_000005,b,2020-01-01 04:56:12.361888+00:00,2020-01-01 05:26:16.721946+00:00,30.07266763333333,res_07,773.25,region_4
evt_00000016,case_000005,c,2020-01-01 05:37:18.685046+00:00,2020-01-01 05:59:51.976646+00:00,22.55486,res_06,773.25,region_4
evt_00000017,case_000005,d,2020-01-01 06:10:29.594045+00:00,2020-01-01 06:47:11.997237+00:00,36.70671986666667,res_03,773.25,region_4
evt_00000018,case_000005,e,2020-01-01 07:04:09.278584+00:00,2020-01-01 07:28:48.279740+00:00,24.650019266666668,res_01,773.25,region_4
evt_00000019,case_000005,f,2020-01-01 07:38:03.466858+00:00,2020-01-01 08:16:27.847453+00:00,38.40634325,res_08,773.25,region_4
evt_00000020,case_000006,a,2020-01-01 07:56:18.494769+00:00,2020-01-01 08:48:11.963060+00:00,51.89113818333333,res_02,1323.2,region_4
evt_00000021,case_000006,c,2020-01-01 09:02:25.827955+00:00,2020-01-01 09:42:49.391209+00:00,40.3927209,res_07,1323.2,region_4
evt_00000022,case_000006,d,2020-01-01 10:01:19.525570+00:00,2020-01-01 10:32:34.811839+00:00,31.25477115,res_03,1323.2,region_4
evt_00000023,case_000006,e,2020-01-01 10:40:36.856697+00:00,2020-01-01 11:24:41.606591+00:00,44.0791649,res_01,1323.2,region_4
evt_00000024,case_000006,f,2020-01-01 11:47:47.506841+00:00,2020-01-01 12:23:57.010086+00:00,36.15838741666666,res_08,1323.2,region_4
evt_00000025,case_000007,a,2020-01-01 09:38:27.204733+00:00,2020-01-01 10:24:51.303390+00:00,46.40164428333333,res_02,1137.53,region_4
evt_00000026,case_000007,g,2020-01-01 10:36:39.138962+00:00,2020-01-01 11:05:12.910925+00:00,28.56286605,res_04,1137.53,region_4
evt_00000027,case_000007,h,2020-01-01 11:19:25.926940+00:00,2020-01-01 11:46:42.544114+00:00,27.2769529,res_08,1137.53,region_4
evt_00000028,case_000008,a,2020-01-01 15:10:41.218463+00:00,2020-01-01 15:51:43.186030+00:00,41.032792783333335,res_02,875.28,region_4
evt_00000029,case_000008,g,2020-01-01 16:05:25.286906+00:00,2020-01-01 16:26:04.160679+00:00,20.647896216666666,res_01,875.28,region_4
evt_00000030,case_000008,h,2020-01-01 16:47:55.230106+00:00,2020-01-01 17:09:28.099215+00:00,21.547818483333334,res_08,875.28,region_4
evt_00000031,case_000009,b,2020-01-01 18:16:52.698676+00:00,2020-01-01 18:40:21.951025+00:00,23.48753915,res_07,1051.04,region_4
evt_00000032,case_000009,g,2020-01-01 18:59:04.922269+00:00,2020-01-01 19:30:48.817005+00:00,31.73157893333333,res_04,1051.04,region_4
evt_00000033,case_000009,h,2020-01-01 19:53:32.725322+00:00,2020-01-01 20:42:04.598644+00:00,48.53122203333333,res_08,1051.04,region_4
evt_00000034,case_000010,b,2020-01-01 19:19:24.378195+00:00,2020-01-01 19:50:09.921408+00:00,30.759053549999997,res_07,878.35,region_4
evt_00000035,case_000010,g,2020-01-01 20:02:33.834189+00:00,2020-01-01 20:31:59.686777+00:00,29.430876466666668,res_08,878.35,region_4
evt_00000036,case_000010,h,2020-01-01 20:50:07.250588+00:00,2020-01-01 21:36:41.838247+00:00,46.57646098333333,res_08,878.35,region_4
evt_00000037,case_000011,a,2020-01-01 21:20:34.819081+00:00,2020-01-01 21:51:25.315441+00:00,30.841606000000002,res_02,1137.72,region_4
evt_00000038,case_000011,c,2020-01-01 22:29:11.237005+00:00,2020-01-01 22:46:48.766036+00:00,17.625483850000002,res_08,1137.72,region_4
evt_00000039,case_000011,d,2020-01-01 22:50:49.877696+00:00,2020-01-01 23:25:15.841007+00:00,34.43272185,res_05,1137.72,region_4
evt_00000040,case_000011,e,2020-01-01 23:36:37.574505+00:00,2020-01-02 00:18:21.615895+00:00,41.73402316666667,res_01,1137.72,region_4
evt_00000041,case_000011,f,2020-01-02 00:37:56.297171+00:00,2020-01-02 01:21:34.198502+00:00,43.63168885,res_08,1137.72,region_4
evt_00000042,case_000012,a,2020-01-02 00:09:10.885713+00:00,2020-01-02 00:48:10.854557+00:00,38.999480733333336,res_02,857.59,region_4
evt_00000043,case_000012,g,2020-01-02 01:03:26.374576+00:00,2020-01-02 01:06:54.084564+00:00,3.4618331333333336,res_04,857.59,region_4
evt_00000044,case_000012,h,2020-01-02 01:31:56.156030+00:00,2020-01-02 02:02:30.983679+00:00,30.58046081666667,res_07,857.59,region_4
evt_00000045,case_000013,a,2020-01-02 01:39:32.450156+00:00,2020-01-02 02:25:02.886010+00:00,45.50726423333333,res_05,885.27,region_4
evt_00000046,case_000013,c,2020-01-02 02:34:14.905615+00:00,2020-01-02 02:44:41.861375+00:00,10.449262666666668,res_06,885.27,region_4
evt_00000047,case_000013,d,2020-01-02 02:53:54.276683+00:00,2020-01-02 03:31:44.789833+00:00,37.841885833333336,res_03,885.27,region_4
evt_00000048,case_000013,e,2020-01-02 03:33:50.532485+00:00,2020-01-02 03:55:53.342596+00:00,22.046835183333332,res_01,885.27,region_4
evt_00000049,case_000013,f,2020-01-02 04:05:43.968456+00:00,2020-01-02 04:43:27.653357+00:00,37.728081683333336,res_08,885.27,region_4
evt_00000050,case_000014,a,2020-01-02 03:04:08.346287+00:00,2020-01-02 03:54:22.824780+00:00,50.24130821666667,res_02,1008.24,region_4
evt_00000051,case_000014,g,2020-01-02 04:01:58.862665+00:00,2020-01-02 04:34:06.043311+00:00,32.11967743333334,res_04,1008.24,region_4
evt_00000052,case_000014,h,2020-01-02 04:56:03.932357+00:00,2020-01-02 05:21:26.781316+00:00,25.38081598333333,res_08,1008.24,region_4
evt_00000053,case_000015,b,2020-01-02 06:55:07.072996+00:00,2020-01-02 07:36:53.771843+00:00,41.77831411666667,res_07,1017.07,region_3
evt_00000054,case_000015,g,2020-01-02 07:39:24.773571+00:00,2020-01-02 08:10:39.443431+00:00,31.244497666666668,res_04,1017.07,region_3
evt_00000055,case_000015,h,2020-01-02 08:32:53.184417+00:00,2020-01-02 08:48:31.585123+00:00,15.640011766666667,res_08,1017.07,region_3
evt_00000056,case_000016,a,2020-01-02 08:13:09.336586+00:00,2020-01-02 08:33:19.245320+00:00,20.16514556666667,res_04,910.22,region_4
evt_00000057,case_000016,g,2020-01-02 08:44:53.415890+00:00,2020-01-02 09:00:02.712236+00:00,15.1549391,res_04,910.22,region_4
evt_00000058,case_000016,h,2020-01-02 09:12:30.584827+00:00,2020-01-02 09:40:41.492567+00:00,28.18179566666667,res_08,910.22,region_4
evt_00000059,case_000017,a,2020-01-02 14:03:39.156424+00:00,2020-01-02 14:31:30.364401+00:00,27.853466283333333,res_02,730.03,region_3
evt_00000060,case_000017,c,2020-01-02 14:56:31.761183+00:00,2020-01-02 15:11:56.538107+00:00,15.412948733333334,res_06,730.03,region_3
evt_00000061,case_000017,d,2020-01-02 15:30:07.357011+00:00,2020-01-02 16:22:30.649702+00:00,52.388211516666665,res_03,730.03,region_3
evt_00000062,case_000017,e,2020-01-02 16:39:28.760800+00:00,2020-01-02 17:24:50.297732+00:00,45.358948866666665,res_01,730.03,region_3
evt_00000063,case_000017,f,2020-01-02 17:32:21.019021+00:00,2020-01-02 18:20:21.147445+00:00,48.0021404,res_08,730.03,region_3
evt_00000064,case_000018,a,2020-01-02 20:09:10.299759+00:00,2020-01-02 20:49:38.181510+00:00,40.46469585,res_02,901.91,region_4
evt_00000065,case_000018,c,2020-01-02 21:16:38.209167+00:00,2020-01-02 21:36:26.984787+00:00,19.812927,res_06,901.91,region_4
evt_00000066,case_000018,d,2020-01-02 21:40:50.082261+00:00,2020-01-02 22:31:54.656256+00:00,51.07623325,res_07,901.91,region_4
evt_00000067,case_000018,e,2020-01-02 22:41:01.133194+00:00,2020-01-02 23:20:42.376439+00:00,39.68738741666667,res_01,901.91,region_4
evt_00000068,case_000018,f,2020-01-02 23:31:46.983714+00:00,2020-01-03 00:25:05.497340+00:00,53.308560433333334,res_08,901.91,region_4
evt_00000069,case_000019,b,2020-01-03 00:54:04.119367+00:00,2020-01-03 01:01:18.668097+00:00,7.242478833333333,res_07,1153.72,region_4
evt_00000070,case_000019,c,2020-01-03 01:19:54.540198+00:00,2020-01-03 01:37:02.330207+00:00,17.129833483333336,res_06,1153.72,region_4
evt_00000071,case_000019,d,2020-01-03 01:45:34.329307+00:00,2020-01-03 02:37:48.095775+00:00,52.22944113333333,res_03,1153.72,region_4
evt_00000072,case_000019,e,2020-01-03 02:47:13.294183+00:00,2020-01-03 03:21:42.848862+00:00,34.492577983333334,res_01,1153.72,region_4
evt_00000073,case_000019,f,2020-01-03 03:34:42.120525+00:00,2020-01-03 03:52:23.963602+00:00,17.697384616666668,res_08,1153.72,region_4
evt_00000074,case_000020,b,2020-01-03 01:13:15.630358+00:00,2020-01-03 01:42:25.538004+00:00,29.165127433333335,res_07,1055.47,region_4
evt_00000075,case_000020,g,2020-01-03 02:01:24.944717+00:00,2020-01-03 02:15:05.118856+00:00,13.669568983333333,res_04,1055.47,region_4
evt_00000076,case_000020,h,2020-01-03 02:41:09.138088+00:00,2020-01-03 02:56:22.367491+00:00,15.22049005,res_08,1055.47,region_4
evt_00000077,case_000021,b,2020-01-03 06:11:17.606725+00:00,2020-01-03 06:51:34.188790+00:00,40.27636775,res_07,1187.88,region_4
evt_00000078,case_000021,g,2020-01-03 06:57:12.793857+00:00,2020-01-03 07:24:29.500924+00:00,27.278451116666666,res_04,1187.88,region_4
evt_00000079,case_000021,h,2020-01-03 07:46:33.014299+00:00,2020-01-03 08:14:45.016217+00:00,28.200031966666664,res_04,1187.88,region_4
evt_00000080,case_000022,b,2020-01-03 12:07:12.808118+00:00,2020-01-03 13:12:50.125397+00:00,65.62195464999999,res_07,678.75,region_4
evt_00000081,case_000022,c,2020-01-03 13:35:21.416401+00:00,2020-01-03 14:00:27.817889+00:00,25.106691466666668,res_06,678.75,region_4
evt_00000082,case_000022,d,2020-01-03 14:19:45.764412+00:00,2020-01-03 14:51:05.281012+00:00,31.325276666666664,res_03,678.75,region_4
evt_00000083,case_000022,e,2020-01-03 14:59:40.561377+00:00,2020-01-03 15:30:52.900988+00:00,31.205660183333336,res_01,678.75,region_4
evt_00000084,case_000022,f,2020-01-03 15:51:06.961376+00:00,2020-01-03 16:26:14.389238+00:00,35.1237977,res_08,678.75,region_4
evt_00000085,case_000023,a,2020-01-03 17:02:05.129342+00:00,2020-01-03 17:37:33.617983+00:00,35.47481068333333,res_01,993.06,region_4
evt_00000086,case_000023,g,2020-01-03 17:48:29.788671+00:00,2020-01-03 18:17:21.570132+00:00,28.86302435,res_08,993.06,region_4
evt_00000087,case_000023,h,2020-01-03 18:42:43.587939+00:00,2020-01-03 19:14:22.487290+00:00,31.648322516666667,res_08,993.06,region_4
evt_00000088,case_000024,a,2020-01-03 18:15:40.943870+00:00,2020-01-03 18:50:18.834874+00:00,34.631516733333335,res_01,816.59,region_4
evt_00000089,case_000024,c,2020-01-03 19:09:35.069275+00:00,2020-01-03 19:27:01.862661+00:00,17.446556433333335,res_04,816.59,region_4
evt_00000090,case_000024,d,2020-01-03 19:39:36.402416+00:00,2020-01-03 20:25:54.093425+00:00,46.29485015,res_03,816.59,region_4
evt_00000091,case_000024,e,2020-01-03 20:29:59.942539+00:00,2020-01-03 20:49:59.158381+00:00,19.986930700000002,res_01,816.59,region_4
evt_00000092,case_000024,f,2020-01-03 21:03:10.743496+00:00,2020-01-03 21:47:41.144739+00:00,44.50668738333333,res_08,816.59,region_4
evt_00000093,case_000025,a,2020-01-03 19:40:01.465730+00:00,2020-01-03 20:19:16.812587+00:00,39.25578095,res_04,1033.12,region_4
evt_00000094,case_000025,g,2020-01-03 20:32:01.088885+00:00,2020-01-03 21:01:20.975088+00:00,29.331436716666666,res_04,1033.12,region_4
evt_00000095,case_000025,h,2020-01-03 21:14:35.032264+00:00,2020-01-03 21:39:56.493894+00:00,25.357693833333332,res_08,1033.12,region_4
evt_00000096,case_000026,b,2020-01-03 20:23:34.789516+00:00,2020-01-03 20:57:45.432219+00:00,34.177378383333334,res_07,1125.04,region_4
evt_00000097,case_000026,c,2020-01-03 21:00:39.317309+00:00,2020-01-03 21:23:04.237472+00:00,22.41533605,res_06,1125.04,region_4
